,Random_Knn_F1,Random_Lightgbm_F1,Random_GradientBoosting_F1,Random_Catboost_F1,Uncertainty_Knn_F1,Uncertainty_Lightgbm_F1,Uncertainty_GradientBoosting_F1,Uncertainty_Catboost_F1,Random_Knn_kappa,Random_Lightgbm_kappa,Random_GradientBoosting_kappa,Random_Catboost_kappa,Uncertainty_Knn_kappa,Uncertainty_Lightgbm_kappa,Uncertainty_GradientBoosting_kappa,Uncertainty_Catboost_kappa
186,0.859421222,0.882313191,0.868851309,0.980085625,0.798728527,0.883719281,0.883775351,0.995439033,0.801823051,0.841142311,0.821905521,0.972027953,0.722264534,0.842837887,0.842901355,0.993548535
187,0.859421222,0.882313191,0.868851309,0.963307494,0.798728527,0.883719281,0.883775351,0.995439033,0.801823051,0.841142311,0.821905521,0.94837141,0.722264534,0.842837887,0.842901355,0.993548535
188,0.859421222,0.882313191,0.868851309,0.968038585,0.798728527,0.883719281,0.883767109,0.995535145,0.801823051,0.841142311,0.821905521,0.954943301,0.722264534,0.842837887,0.84289514,0.993684234
189,0.859421222,0.882313191,0.868851309,0.979423601,0.798728527,0.883781963,0.883735773,0.995439033,0.801823051,0.841142311,0.821905521,0.971105946,0.722264534,0.842927532,0.842850321,0.993548535
190,0.859504132,0.882313191,0.868851309,0.974918282,0.798728527,0.883781963,0.883775351,0.995471072,0.801947921,0.841142311,0.821905521,0.964737684,0.722264534,0.842927532,0.842901355,0.99359377
191,0.859504132,0.876242936,0.868851309,0.97276593,0.798728527,0.883750621,0.883744017,0.995471072,0.801947921,0.833368191,0.821905521,0.961759635,0.722264534,0.842882709,0.842856538,0.99359377
192,0.859504132,0.879155149,0.868851309,0.97268397,0.798728527,0.883781963,0.883744017,0.99553486,0.801947921,0.836620476,0.821905521,0.961616311,0.722264534,0.842927532,0.842856538,0.993683998
193,0.859504132,0.882313191,0.862545708,0.974156357,0.798728527,0.883719281,0.883744017,0.995566895,0.801947921,0.841142311,0.812732197,0.963676866,0.722264534,0.842837887,0.842856538,0.993729229
194,0.859504132,0.882313191,0.864985681,0.973585394,0.798728527,0.883750621,0.883735773,0.995470783,0.801947921,0.841142311,0.816283899,0.962867313,0.722264534,0.842882709,0.842850321,0.993593531
195,0.859504132,0.882313191,0.862635832,0.976467142,0.798728527,0.883750621,0.883727527,0.99553486,0.801947921,0.841142311,0.812863541,0.966994589,0.722264534,0.842882709,0.842844104,0.993683998
196,0.863470032,0.87732714,0.862635832,0.976367188,0.798728527,0.883781963,0.883744017,0.995502823,0.805995156,0.834757175,0.812863541,0.966855764,0.722264534,0.842927532,0.842856538,0.993638766
197,0.863470032,0.87732714,0.862635832,0.975433338,0.798728527,0.883781963,0.883744017,0.995439033,0.805995156,0.834757175,0.812863541,0.965559304,0.722264534,0.842927532,0.842856538,0.993548535
198,0.863470032,0.87732714,0.864985681,0.980515481,0.798728527,0.883821548,0.883735773,0.995407285,0.805995156,0.834757175,0.816283899,0.972626886,0.722264534,0.84297857,0.842850321,0.993503541
199,0.863771414,0.87732714,0.862635832,0.981110067,0.798728527,0.883781963,0.883767109,0.995407285,0.806580161,0.834757175,0.812863541,0.973455694,0.722264534,0.842927532,0.84289514,0.993503541
200,0.863771414,0.876242936,0.862635832,0.981769906,0.798728527,0.883781963,0.883735773,0.995471072,0.806580161,0.833368191,0.812863541,0.974375935,0.722264534,0.842927532,0.842850321,0.99359377
