,Auto_Kappa,Auto_F1,IF_Kappa,IF_F1,OCSVM_Kappa,OCSVM_F1,Random_Kappa,Random_F1
633,0.162837231,0.167101828,0.061405028,0.066448802,0.471034275,0.471794872,0.623136232,0.623853211
634,0.162837231,0.167101828,0.062220614,0.067254686,0.478830741,0.479591837,0.635657432,0.636363636
635,0.162837231,0.167101828,0.062070858,0.067106711,0.478830741,0.479591837,0.623136232,0.623853211
636,0.162837231,0.167101828,0.061405028,0.066448802,0.478830741,0.479591837,0.623136232,0.623853211
637,0.162837231,0.167101828,0.061478364,0.066521265,0.478830741,0.479591837,0.629425307,0.630136986
638,0.162837231,0.167101828,0.061405028,0.066448802,0.478830741,0.479591837,0.629425307,0.630136986
639,0.162837231,0.167101828,0.061405028,0.066448802,0.478830741,0.479591837,0.635657432,0.636363636
640,0.162837231,0.167101828,0.061405028,0.066448802,0.478830741,0.479591837,0.629425307,0.630136986
641,0.162837231,0.167101828,0.061478364,0.066521265,0.478830741,0.479591837,0.635657432,0.636363636
642,0.162837231,0.167101828,0.061405028,0.066448802,0.478830741,0.479591837,0.623136232,0.623853211
643,0.162837231,0.167101828,0.061405028,0.066448802,0.5166544,0.517412935,0.623136232,0.623853211
644,0.162837231,0.167101828,0.061405028,0.066448802,0.478830741,0.479591837,0.623136232,0.623853211
645,0.162837231,0.167101828,0.061405028,0.066448802,0.5166544,0.517412935,0.623136232,0.623853211
646,0.162837231,0.167101828,0.061405028,0.066448802,0.5166544,0.517412935,0.629425307,0.630136986
647,0.162837231,0.167101828,0.061405028,0.066448802,0.5166544,0.517412935,0.641833377,0.642533937
648,0.162837231,0.167101828,0.061478364,0.066521265,0.531264368,0.532019704,0.635657432,0.636363636
649,0.162837231,0.167101828,0.061478364,0.066521265,0.531264368,0.532019704,0.623136232,0.623853211
650,0.162837231,0.167101828,0.065559976,0.070546737,0.531264368,0.532019704,0.623136232,0.623853211
651,0.162837231,0.167101828,0.065559976,0.070546737,0.531264368,0.532019704,0.623136232,0.623853211
652,0.162837231,0.167101828,0.065559976,0.070546737,0.531264368,0.532019704,0.623136232,0.623853211
653,0.162837231,0.167101828,0.065559976,0.070546737,0.531264368,0.532019704,0.623136232,0.623853211
654,0.162837231,0.167101828,0.065559976,0.070546737,0.531264368,0.532019704,0.623136232,0.623853211
655,0.162837231,0.167101828,0.065559976,0.070546737,0.531264368,0.532019704,0.623136232,0.623853211
656,0.162837231,0.167101828,0.065559976,0.070546737,0.531264368,0.532019704,0.623136232,0.623853211
657,0.162837231,0.167101828,0.065559976,0.070546737,0.531264368,0.532019704,0.617440303,0.618181818
658,0.162837231,0.167101828,0.065559976,0.070546737,0.531264368,0.532019704,0.613944432,0.614678899
659,0.162837231,0.167101828,0.065559976,0.070546737,0.531264368,0.532019704,0.626548868,0.627272727
660,0.162837231,0.167101828,0.065559976,0.070546737,0.531264368,0.532019704,0.629425307,0.630136986
661,0.162837231,0.167101828,0.065559976,0.070546737,0.478830741,0.479591837,0.626548868,0.627272727
662,0.162837231,0.167101828,0.065559976,0.070546737,0.478830741,0.479591837,0.629425307,0.630136986
663,0.162837231,0.167101828,0.065518026,0.070505288,0.531264368,0.532019704,0.632765868,0.633484163
664,0.162837231,0.167101828,0.065559976,0.070546737,0.531264368,0.532019704,0.626548868,0.627272727
665,0.162837231,0.167101828,0.065601976,0.070588235,0.531264368,0.532019704,0.623698358,0.624434389
666,0.162837231,0.167101828,0.065559976,0.070546737,0.531264368,0.532019704,0.629425307,0.630136986
667,0.162837231,0.167101828,0.065601976,0.070588235,0.5166544,0.517412935,0.635657432,0.636363636
668,0.162837231,0.167101828,0.065601976,0.070588235,0.531264368,0.532019704,0.635657432,0.636363636
669,0.162837231,0.167101828,0.065559976,0.070546737,0.531264368,0.532019704,0.629425307,0.630136986
670,0.162837231,0.167101828,0.065601976,0.070588235,0.531264368,0.532019704,0.635657432,0.636363636
671,0.162837231,0.167101828,0.065601976,0.070588235,0.531264368,0.532019704,0.629425307,0.630136986
672,0.162837231,0.167101828,0.065559976,0.070546737,0.531264368,0.532019704,0.629425307,0.630136986
673,0.162837231,0.167101828,0.065601976,0.070588235,0.531264368,0.532019704,0.607555433,0.608294931
674,0.162837231,0.167101828,0.065601976,0.070588235,0.531264368,0.532019704,0.626548868,0.627272727
675,0.162837231,0.167101828,0.065601976,0.070588235,0.531264368,0.532019704,0.620275314,0.621004566
676,0.162837231,0.167101828,0.066280751,0.071258907,0.531264368,0.532019704,0.629425307,0.630136986
677,0.162837231,0.167101828,0.065559976,0.070546737,0.531264368,0.532019704,0.641833377,0.642533937
678,0.162837231,0.167101828,0.065644025,0.070629782,0.531264368,0.532019704,0.629425307,0.630136986
679,0.162837231,0.167101828,0.065601976,0.070588235,0.478830741,0.479591837,0.613944432,0.614678899
680,0.162837231,0.167101828,0.065644025,0.070629782,0.5166544,0.517412935,0.607555433,0.608294931
681,0.162837231,0.167101828,0.065601976,0.070588235,0.5166544,0.517412935,0.607555433,0.608294931
682,0.162837231,0.167101828,0.065601976,0.070588235,0.5166544,0.517412935,0.626548868,0.627272727
683,0.162837231,0.167101828,0.065601976,0.070588235,0.5166544,0.517412935,0.617440303,0.618181818
684,0.162837231,0.167101828,0.065601976,0.070588235,0.523995393,0.524752475,0.632765868,0.633484163
685,0.162837231,0.167101828,0.065644025,0.070629782,0.5166544,0.517412935,0.632765868,0.633484163
686,0.162837231,0.167101828,0.064501949,0.069493522,0.5166544,0.517412935,0.613944432,0.614678899
687,0.162837231,0.167101828,0.064501949,0.069493522,0.5166544,0.517412935,0.635657432,0.636363636
688,0.162837231,0.167101828,0.065559976,0.070546737,0.5166544,0.517412935,0.607555433,0.608294931
689,0.162837231,0.167101828,0.064501949,0.069493522,0.478830741,0.479591837,0.607555433,0.608294931
690,0.162837231,0.167101828,0.064501949,0.069493522,0.5166544,0.517412935,0.623136232,0.623853211
691,0.162837231,0.167101828,0.064501949,0.069493522,0.5166544,0.517412935,0.616789423,0.617511521
692,0.162837231,0.167101828,0.064501949,0.069493522,0.5166544,0.517412935,0.629425307,0.630136986
693,0.162837231,0.167101828,0.065559976,0.070546737,0.5166544,0.517412935,0.616789423,0.617511521
694,0.162837231,0.167101828,0.065559976,0.070546737,0.5166544,0.517412935,0.629425307,0.630136986
695,0.162837231,0.167101828,0.064501949,0.069493522,0.478830741,0.479591837,0.623136232,0.623853211
696,0.162837231,0.167101828,0.064501949,0.069493522,0.478830741,0.479591837,0.629425307,0.630136986
697,0.162837231,0.167101828,0.065644025,0.070629782,0.5166544,0.517412935,0.623136232,0.623853211
698,0.162837231,0.167101828,0.064501949,0.069493522,0.5166544,0.517412935,0.626548868,0.627272727
699,0.162837231,0.167101828,0.065644025,0.070629782,0.5166544,0.517412935,0.629425307,0.630136986
