,datetime,latitude,longitude,pressure,salinity,temperature,label,score
6160,0.1881941311123651,-0.3676993040589029,0.6436074300740842,0.7320019434482699,-0.7710698788619957,-1.157464464990501,0,0.4268118498354289
17133,0.1881941311123651,-0.3676993040589029,0.6436074300740842,0.7917642696722078,-0.7628182988698706,-1.2253884938675612,0,0.4268118498354289
6492,0.1838982440019839,-0.3755759924579354,0.6045599601575585,0.6840570263646583,-0.7793214588541209,-1.2702378526476297,0,0.4268118498354289
5976,0.4725794273318414,1.2388467104411929,0.7877268010022951,-0.6931775988751375,1.1267935193311789,0.7418083807393505,0,0.4268099472906458
14159,0.4682349304663216,1.2382734320233193,0.7820268904374742,-0.7738736212905117,1.1185419393390534,0.7405083993254357,0,0.4268099472906458
6663,0.4682349304663216,1.2382734320233193,0.7820268904374742,-0.6911517573082243,1.1267935193311789,0.7418083807393505,0,0.4268099472906458
8594,0.4682349304663216,1.2382734320233193,0.7820268904374742,-0.6989174833147247,1.1267935193311789,0.7418083807393505,0,0.4268099472906458
2933,0.4682349304663216,1.2382734320233193,0.7820268904374742,-0.8103387694949485,1.1267935193311789,0.7401834039719568,0,0.4268099472906458
11687,-0.577373055005548,-0.9126043668142788,-0.4805677529363078,0.2052831360508485,-0.7463151388855617,-1.3371868954642534,0,0.4268051909283088
13984,-0.5860863536141571,-0.8925160628015945,-0.5025323050538426,0.0604354640165575,-0.8288309388069888,-1.3170371835485704,0,0.4268051909283088
19946,-0.5817297043098525,-0.9020065692125908,-0.4920180157523638,0.155650017661476,-0.8123277788227385,-1.3157372021346554,0,0.4268051909283088
15905,0.3151020493406835,0.592710888156681,0.9863194568367808,0.3741032666269451,-0.7298119789012528,-0.7047459375945936,0,0.42680145472314096
10839,0.3151020493406835,0.592710888156681,0.9863194568367808,0.3946993225572288,-0.7298119789012528,-0.7203457145615738,0,0.42680145472314096
18452,-1.225942636724042,-0.6899131874211066,-1.4371532351509555,-0.8397134722151893,0.2768807801403566,0.9712551002953526,0,0.4267966667234426
179,-1.225942636724042,-0.6899131874211066,-1.4371532351509555,-0.8224938188964275,0.3924029000303428,0.9543553419144571,0,0.4267966667234426
6475,-1.225942636724042,-0.6899131874211066,-1.4371532351509555,-0.816416294195688,0.4089060600146517,0.9611802443375108,0,0.4267966667234426
10304,0.4157424711359356,1.1665311719342286,0.97044153487991,0.5213144204893012,-0.655547758971951,-1.3573366073799362,0,0.4267900182959691
17400,0.4157424711359356,1.1665311719342286,0.97044153487991,0.5148992555274097,-0.655547758971951,-1.3540866538451486,0,0.4267900182959691
7594,0.4113554407346694,1.1718241808883143,0.9655935283523094,0.4892385956798429,-0.655547758971951,-1.383986226365194,0,0.4267900182959691
14399,0.4157424711359356,1.1665311719342286,0.97044153487991,0.5280672257123451,-0.655547758971951,-1.3583115934403724,0,0.4267900182959691
788,0.4113554407346694,1.1718241808883143,0.9655935283523094,0.5152368957885617,-0.655547758971951,-1.393411091616078,0,0.4267900182959691
5692,-0.7042202110399429,-0.6837367014531697,-1.0150515986039064,-1.0581667211806585,-0.226465599380448,1.6033710628115336,0,0.4267712506550216
14580,-0.6998696379550308,-0.6838702046463742,-1.0172915831228249,-0.996378553389807,-0.226465599380448,1.5942711929141282,0,0.4267712506550216
15262,-0.0479763642289292,-0.415811498950899,0.2479447100505824,-0.1043329834257127,-0.0614339995375939,0.1067674600418608,0,0.42676991644507234
19903,-0.0523694708495878,-0.4253844632165226,0.2478569041520093,-0.0232993207491863,-0.193459279411889,-0.0495553049814208,0,0.42676991644507234
17137,-0.0523694708495878,-0.4253844632165226,0.2478569041520093,-0.0526740234694271,-0.143949799459021,0.0095938493517126,0,0.42676991644507234
13322,-0.0567686536896386,-0.4290675807231489,0.250423825527317,-0.0685431157435801,-0.0861887395140279,0.1041674972140307,0,0.42676991644507234
4616,-0.0917372962925292,-0.4335006720504188,0.2582236048154608,-0.0847498482788854,-0.0449308395532851,0.1009175436792433,0,0.42676991644507234
811,-0.0567686536896386,-0.4290675807231489,0.250423825527317,-0.0763088417500806,-0.0861887395140279,0.1191172834740536,0,0.42676991644507234
18246,-0.0611192267745508,-0.4342977646451383,0.2555950324900912,-0.0952166963746033,-0.1769561194275801,0.0375434497508857,0,0.42676991644507234
13704,-0.0567686536896386,-0.4290675807231489,0.250423825527317,-0.0351167298895131,-0.2017108594040141,0.026493607732608,0,0.42676991644507234
1551,-0.0611192267745508,-0.4342977646451383,0.2555950324900912,-0.0985930989861252,-0.0779371595218442,0.0814178224705177,0,0.42676991644507234
6097,-0.0567686536896386,-0.4290675807231489,0.250423825527317,-0.1036577029034081,0.0788428603288848,0.2013411079041787,1,0.42676991644507234
9216,-0.0523694708495878,-0.4253844632165226,0.2478569041520093,-0.0601021092147753,-0.1356982194668959,0.0443683521739395,0,0.42676991644507234
16520,-0.0567686536896386,-0.4290675807231489,0.250423825527317,-0.0881262508904074,-0.0531824195454102,0.1353670511479914,0,0.42676991644507234
1686,-0.0479763642289292,-0.415811498950899,0.2479447100505824,-0.108722306820691,-0.0036729395926008,0.1178173020601385,0,0.42676991644507234
17106,-0.0392326845233585,-0.3972898941761056,0.2596471812987101,-0.0769841222723849,-0.0366792595611599,0.1720915260910907,0,0.42676991644507234
